id,classe,caption,commento_raw,commento_prenorm,anno,prodotto,panelista
168,OK,"La crosta ha uno spessore di 0,5 mm.","Crosta di 0,5","Crosta di 0,5",2018,C0I,TG_08
169,OK,I piatti presentano uno spessore molto sottile.,Piatti molto sottili,Piatti molto sottili,2018,C0I,TG_11
170,OK,La crosta è molto sottile.,"1,1cm",molto sottile,2018,C0I,TG_13
171,OK,"La crosta ha uno spessore di 12mm, conforme alle attese per la stagionatura del Grana Trentino DOP.",12,nella norma,2018,C0I,TG_19
172,OK,"La crosta è leggermente spessa, con uno spessore di 11 mm.","Un Po spessa, 11mm","leggermente spessa, 11mm",2018,C0I,TG_20
173,OK,"La crosta è abbastanza irregolare, con uno spessore medio maggiore di 1,1 cm.",Abbastanza irregolare con media maggiore di 1.1 cm,Abbastanza irregolare con media maggiore di 1.1 cm,2018,C0I,TG_24
174,OK,La crosta è molto sottile.,Molto sottile,Molto sottile,2018,C0I,TG_35
175,OK,"La crosta è grossomodo omogenea, con uno spessore di 10 mm.",Grossomodo omogenea sui 10mm,Grossomodo omogenea sui 10mm,2018,C0M,Q_02
176,ILLEGGIBILE,,"1,2","1,2",2018,C0M,Q_09
177,OK,"La crosta presenta microocchiature nella zona centrale, con una dimensione di 2,3 mm, e una frattura discreta con grana presente.","Micro occhiatura  nella zona centrale, anche grossa, 2,3 km. Frattura discreta, grana presente","Micro occhiatura  nella zona centrale, anche grossa, 2,3 mm. Frattura discreta, grana presente",2018,C0M,TG_04
178,OK,"La crosta è regolare, con uno spessore di 10 mm.",Regolare 10 mm,Regolare 10 mm,2018,C0M,TG_08
179,OK,La crosta presenta uno spessore irregolare.,Spessore irregolare,Spessore irregolare,2018,C0M,TG_11
180,ILLEGGIBILE,,"Media 0,8","Media 0,8",2018,C0M,TG_13
181,FUORI_ATTRIBUTO,"Spessore della crosta di 9-10 mm, di colore chiaro.",9 10 mm chiaro,nella norma 10 mm chiaro,2018,C0M,TG_19
182,FUORI_ATTRIBUTO,Spessore della crosta di 10 mm.,10mm,nella normamm,2018,C0M,TG_20
183,FUORI_ATTRIBUTO,"Spessore della crosta molto omogenea, media di 0,9 cm.","Molto omogenea media 0,9 cm","Molto omogenea media 0,9 cm",2018,C0M,TG_24
184,FUORI_ATTRIBUTO,"Spigoli da 15 mm, piatto da 8-9 mm, media di 9 mm.",Spigoli da 15kmm Piatto da 8   9mm  Media 9mm,Spigoli da 15mmm Piatto da 8   9mm  Media 9mm,2018,C0Q,Q_02
185,FUORI_ATTRIBUTO,"Spessore variabile, 1 lato a 1 mm e l'altro a 0,8 mm.","Più su 1 lato1 sull'altro 0,8","Più su 1 lato1 sull'altro 0,8",2018,C0Q,Q_09
186,FUORI_ATTRIBUTO,Spessore della crosta intorno ai 10 mm.,Intorno ai 10 km,Intorno ai 10 mm,2018,C0Q,TG_04
187,FUORI_ATTRIBUTO,Spessore della crosta di 8 mm.,8 km,nella norma mm,2018,C0Q,TG_08
188,FUORI_ATTRIBUTO,Spessore della crosta di 1 cm.,1cm,molto sottile,2018,C0Q,TG_13
189,FUORI_ATTRIBUTO,Spessore della crosta tra 8 e 9 mm.,8 9 km,nella norma 9 mm,2018,C0Q,TG_19
190,OK,La crosta è bella e presenta uno spessore di 10 mm.,"Bella, 10mm","Bella, 10mm",2018,C0Q,TG_20
191,FUORI_ATTRIBUTO,Spessore della crosta molto basso e omogeneo.,Molto basso omogeneo..,Molto basso omogeneo..,2018,C0Q,TG_24
192,OK,La crosta è più spessa sullo scalzo.,Più spessa sullo scalzo,Più spessa sullo scalzo,2018,C0Q,TG_35
193,FUORI_ATTRIBUTO,"Scalzo e piatti circa 10 mm, spigoli circa 18 mm, media di 10 mm.",Scalzo e piatti circa 10mm   Spigoli circa 18mm  Media 10mm,Scalzo e piatti circa 10mm   Spigoli circa 18mm  Media 10mm,2018,C0B,Q_02
194,FUORI_ATTRIBUTO,Spessore della crosta di 12 mm.,12 mm,nella norma mm,2018,C0B,Q_09
195,FUORI_ATTRIBUTO,Spessore della crosta sempre superiore a 1 cm.,Sempre superiore al cm,Sempre superiore al cm,2018,C0B,TG_04
196,FUORI_ATTRIBUTO,"Spessore della crosta di 0,8 cm.","0,8 cm",molto sottile,2018,C0B,TG_13
197,OK,La crosta è molto chiara e spessa 8 mm o meno.,8 o meno molto chiara,nella norma o meno molto chiara,2018,C0B,TG_19
198,OK,La crosta è piuttosto spessa.,Piuttosto spessa,Piuttosto spessa,2018,C0B,TG_35
199,CONFORME,"La crosta del campione presenta uno spessore regolare e scalzo, con angoli ben definiti e una sottocrosta leggermente rugosa, conforme alle attese per la stagionatura del Grana Trentino DOP.",Crosta definisca e pressoché omogenea in tutto il perimetro  Media 9mm,Crosta definisca e pressoché omogenea in tutto il perimetro  Media 9mm,2018,C0D,Q_02
200,FUORI_ATTRIBUTO,"Spessore della crosta di 12 mm, maggiore negli angoli.",12 maggiore negli angoli,nella norma maggiore negli angoli,2018,C0D,Q_09
201,FUORI_ATTRIBUTO,"1,1 cm con colore sottocrosta scuro ed evidente.","1,1 cm colore sottocrosta scuro ed evidente",molto sottile colore sottocrostarosta scuro ed evidente,2018,C0D,TG_13
202,OK,"La crosta presenta uno spessore deciso di 9-10mm, conforme alle attese per il Grana Trentino DOP.",9 10 mm decisi,nella norma 10 mm decisi,2018,C0D,TG_19
203,OK,"La crosta del campione è omogenea, conforme alle attese per la stagionatura del Grana Trentino DOP.",Omogenea,Omogenea,2018,C0D,TG_35
204,OK,"La crosta presenta uno spessore di circa 10 mm, con spigoli di circa 15 mm e scalzi di circa 10 mm, risultando nella media.",Piatto circa 10mm Spigoli circa 15km Scalzo circa 10km  Media 10mm,Piatto circa 10mm Spigoli circa 15mm Scalzo circa 10mm  Media 10mm,2018,C0F,Q_02
205,OK,Lo spessore della crosta e nella norma (12 mm).,12 mm,nella norma mm,2018,C0F,Q_09
206,OK,La crosta presenta uno spessore sottile in alcune aree sugli scalzi.,A tratti sottile sugli scalzi,A tratti sottile sugli scalzi,2018,C0F,TG_04
207,OK,"La crosta è molto sottile con spigoli accentuati, conforme alle attese per la stagionatura del Grana Trentino DOP.",1cm spigoli accentuati,molto sottile spigoli accentuati,2018,C0F,TG_13
208,OK,"Lo spessore della crosta è di 10 mm, considerato scarso rispetto agli standard attesi.",10 scarso,nella norma scarso,2018,C0F,TG_19
209,OK,"La crosta è abbastanza omogenea, con una faccia che presenta uno spessore più sottile.","Abbastanza omogenea, una faccia la crosta piú sottile","Abbastanza omogenea, una faccia la crosta piú sottile",2018,C0F,TG_35
210,FUORI_ATTRIBUTO,"Indefinita, con media di 13 mm.",Indefinita!!!!  Media 13mm,Indefinita!!!!  Media 13mm,2018,C0I,Q_02
211,OK,"La crosta presenta uno spessore di 12 mm, con particolare riferimento agli angoli.",12 mm soprattutto angoli,nella norma mm soprattutto angoli,2018,C0I,Q_09
212,OK,"La crosta è ovunque spessa, conforme alle attese per la stagionatura del Grana Trentino DOP.",Ovunque spessa,Ovunque spessa,2018,C0I,TG_04
213,OK,"La crosta è molto sottile, conforme alle attese per la stagionatura del Grana Trentino DOP.","0,8 cm",molto sottile,2018,C0I,TG_13
214,OK,"Lo spessore della crosta è di 10 mm, conforme alle attese per la stagionatura.",10 mm,nella norma mm,2018,C0I,TG_19
215,OK,"La crosta presenta spigoli di 20 mm, scalzo di 15 mm e un minimo di 10 mm, risultando nella media.",Spigoli 20mm Scalzo 15mm Minimo 10mm  Media 12mm,Spigoli 20mm Scalzo 15mm Minimo 10mm  Media 12mm,2018,C0L,Q_02
216,OK,"Il colore della sottocrosta è evidente fino a 15 mm, soprattutto negli angoli.",Colore sottoscritta fino a 15 mm soprattutto negli angoli,Colore sottocrosta fino a 15 mm soprattutto negli angoli,2018,C0L,Q_09
217,OK,"La crosta è sempre superiore al cm, risultando molto spessa su uno scalzo.",Crosta sempre superiore al cm. Su uno scalzi molto spessa,Crosta sempre superiore al cm. Su uno scalzi molto spessa,2018,C0L,TG_04
218,OK,"La crosta è molto sottile, conforme alle attese per la stagionatura del Grana Trentino DOP.","1,1 cm",molto sottile,2018,C0L,TG_13
219,OK,"Lo spessore della crosta varia tra 11 e 12 mm, in linea con le aspettative.",11 12,nella norma 12,2018,C0L,TG_19
220,OK,"La crosta è piuttosto spessa, ma omogenea su tutta la superficie, conforme alle attese per la stagionatura del Grana Trentino DOP.","Piuttosto spessa, ma omogenea su tutta la superficie","Piuttosto spessa, ma omogenea su tutta la superficie",2018,C0L,TG_35
221,FUORI_ATTRIBUTO,Media di 10 mm.,Media 10mm,Media 10mm,2018,C0O,Q_02
222,FUORI_ATTRIBUTO,14 mm.,14,spessa,2018,C0O,Q_09
223,FUORI_ATTRIBUTO,"1 cm, ma è disomogenea, più marcata su un piatto con sottocrosta evidente.",1 cm ma è disomogenea. Più marcata su un piatto con sottocrosta evidente,molto sottile ma è disomogenea. Più marcata su un piatto con sottocrostarosta evidente,2018,C0O,TG_13
224,OK,"Lo spessore della crosta è compreso tra 9 e 10 mm, con una definizione poco decisa.",9 10 mm poco  deciso,nella norma 10 mm poco  deciso,2018,C0O,TG_19
225,FUORI_ATTRIBUTO,"Piatto circa 10 mm, scalzo e spigoli circa 15 mm, colorazione mattoncino sfumata, per un piatto va verso i 20 mm, media 11 mm.",Piatto circa 10mm Scalzo e spigoli circa 15mm  La colorazione mattoncino imputabile alla crosta è molto sfumata e per un Piatto va verso i 20mm  Media 11mm,Piatto circa 10mm Scalzo e spigoli circa 15mm  La colorazione mattoncino imputabile alla crosta è molto sfumata e per un Piatto va verso i 20mm  Media 11mm,2018,C0A,Q_02
226,FUORI_ATTRIBUTO,10 mm.,10 mm,nella norma mm,2018,C0A,Q_09
227,FUORI_ATTRIBUTO,"Mediamente 0,9 cm.","Mediamente 0,9","Mediamente 0,9",2018,C0A,TG_05
228,FUORI_ATTRIBUTO,"1,1 cm con sottocrosta marcata.","1,1 con sottocrosta  marcato","1,1 con sottocrostarosta  marcato",2018,C0A,TG_13
229,FUORI_ATTRIBUTO,12 mm.,12 mm,nella norma mm,2018,C0A,TG_15
230,FUORI_ATTRIBUTO,Dieci millimetri,10 mm,nella norma mm,2018,C0A,TG_19
231,CONFORME,Il campione presenta caratteristiche conformi alle attese per il Grana Trentino DOP.,Ok,Ok,2018,C0A,TG_20
232,FUORI_ATTRIBUTO,"Mediamente 0,9","Mediamente  0,9","Mediamente  0,9",2018,C0A,TG_24
233,OK,La crosta presenta una colorazione molto sfumata e uno spessore medio di 12 mm.,Crosta molto sfumata Media 12mm,Crosta molto sfumata Media 12mm,2018,C0C,Q_02
234,FUORI_ATTRIBUTO,Zero punto otto,0.8,0.8,2018,C0C,Q_09
235,FUORI_ATTRIBUTO,Poco regolare,Poco regolare,Poco regolare,2018,C0C,TG_05
236,FUORI_ATTRIBUTO,Uno punto uno centimetri,"1,1 cm",molto sottile,2018,C0C,TG_13
237,OK,"Lo spessore della crosta non è uniforme, risultando maggiore negli scalzi, con una media di 10 mm e vistosi ingrossamenti nella giunzione tra scalzo e piatto.","Spessore non uniforme, maggiore degli scalzi, nella media 10 con vistosi ingrossamento nella giunzione tra scalzo e piatto","Spessore non uniforme, maggiore degli scalzi, nella media 10 con vistosi ingrossamento nella giunzione tra scalzo e piatto",2018,C0C,TG_14
238,FUORI_ATTRIBUTO,Dieci chilometri,10 km,nella norma mm,2018,C0C,TG_15
239,FUORI_ATTRIBUTO,Dieci millimetri,10 mm,nella norma mm,2018,C0C,TG_19
240,CONFORME,Il campione rispetta gli standard di qualità previsti per il Grana Trentino DOP.,Nella media,Nella media,2018,C0C,TG_20
241,OK,"Lo spessore della crosta è di 10 mm, conforme alle attese per la stagionatura.",10 mm..,nella norma mm..,2018,C0C,TG_24
242,OK,"La crosta presenta uno spessore piatto di circa 9 mm, scalzo di circa 11 mm e spigoli di circa 15 mm, con una media di 10 mm.",Piatti circa 9mm Scalzo circa 11mm Spigoli circa 15mm  Media 10mm,Piatti circa 9mm Scalzo circa 11mm Spigoli circa 15mm  Media 10mm,2018,C0E,Q_02
243,OK,"La crosta presenta uno spessore di 10 mm, in linea con le aspettative.",10 mm,nella norma mm,2018,C0E,Q_09
244,FUORI_ATTRIBUTO,Molto fine con poca unghia,Molto fine con poca unghia,Molto fine con poca unghia,2018,C0E,TG_13
245,OK,"Lo spessore della crosta è di 12 mm, conforme agli standard di qualità.",12 mm,nella norma mm,2018,C0E,TG_15
246,OK,"La crosta ha uno spessore di 9 mm, conforme alle attese per la stagionatura.",9 mm,nella norma mm,2018,C0E,TG_19
247,OK,La crosta presenta uno spessore più marcato su un lato.,Più marcata su un lato,Più marcata su un lato,2018,C0E,TG_20
248,OK,"Lo spessore è mediamente di 12 mm, ma in alcuni punti risulta anche maggiore.",Mediamente 12 ma in alcuni punti anche di più,Mediamente 12 ma in alcuni punti anche di più,2018,C0E,TG_24
249,OK,"La crosta presenta spessore piatto di circa 9 mm, scalzo di circa 15 mm e una media di 9 mm.",Piatti e scalzo circa 9mm Spigoli circa 15mm  Media 9mm,Piatti e scalzo circa 9mm Spigoli circa 15mm  Media 9mm,2018,C0G,Q_02
250,OK,"La crosta è nella norma, con uno spessore più netto su un lato piatto.",12 km più netta su 1 piatto,nella norma mm più netta su 1 piatto,2018,C0G,Q_09
251,FUORI_ATTRIBUTO,Lineare,Lineare,Lineare,2018,C0G,TG_05
252,OK,"La crosta è fine, ma presenta una sottocrosta dal colore marcato.",La crosta é fine ma con sottocrosta dal colore marcato,La crosta é fine ma con sottocrostarosta dal colore marcato,2018,C0G,TG_13
253,CONFORME,"Il campione presenta uno spessore uniforme, conforme agli standard del Grana Trentino DOP.",Spessore uniforme e nella media,Spessore uniforme e nella media,2018,C0G,TG_14
254,ILLEGGIBILE,,10km,nella normamm,2018,C0G,TG_15
255,OK,"Lo spessore della crosta varia tra 9 e 10 mm, conforme alle attese.",9 10 mm,nella norma 10 mm,2018,C0G,TG_19
256,CONFORME,Il campione rispetta le norme previste per il Grana Trentino DOP.,Nella norma,Nella norma,2018,C0G,TG_20
257,OK,"Lo spessore è di 0,8 mm in media.",0.8 in media,0.8 in media,2018,C0G,TG_24
258,OK,"La crosta presenta spessore piatto di circa 10 mm, scalzo di circa 12 mm e spigoli di circa 20 mm, con un dato medio di 11 mm.",Piatti circa 10mm Scalzo circa 12mm Spigoli circa 20mm  Dato medio 11mm,Piatti circa 10mm Scalzo circa 12mm Spigoli circa 20mm  Dato medio 11mm,2018,C0N,Q_02
259,OK,"La crosta è spessa, con maggiore spessore su un lato e angoli ben definiti.",15 più su 1 lato  angoli,spessa più su 1 lato  angoli,2018,C0N,Q_09
260,OK,La crosta presenta uno spessore irregolare.,Irregolare,Irregolare,2018,C0N,TG_05
261,FUORI_ATTRIBUTO,Uno punto uno centimetri,"1,1 cm",molto sottile,2018,C0N,TG_13
262,FUORI_ATTRIBUTO,Grossa,Grossa,Grossa,2018,C0N,TG_14
263,OK,"Lo spessore della crosta è di 6 mm, considerato al di sotto delle attese.",6km,nella normamm,2018,C0N,TG_15
264,RIFERIMENTO,,11 12,nella norma 12,2018,C0N,TG_19
265,CONFORME,Il campione presenta caratteristiche conformi alle attese per il Grana Trentino DOP.,Nella media,Nella media,2018,C0N,TG_20
266,OK,"Lo spessore della crosta è mediamente di 10 mm, con punte maggiori negli angoli.",Mediamente 10 mm con punte maggiori negli angoli,Mediamente 10 mm con punte maggiori negli angoli,2018,C0N,TG_24
267,OK,"La crosta è piatta con uno spessore di circa 12 mm, scalza di circa 15 mm e spigoli di circa 22 mm, con una media di 13 mm.",Piatto circa 12mm Scalzo circa 15mm Spigoli circa 22mm  Media 13mm,Piatto circa 12mm Scalzo circa 15mm Spigoli circa 22mm  Media 13mm,2018,C0R,Q_02
268,RIFERIMENTO,,12 mm,nella norma mm,2018,C0R,Q_09
269,OK,"La crosta presenta uno spessore regolare, conforme alle attese per la stagionatura.",Regolare,Regolare,2018,C0R,TG_05
270,OK,La crosta del campione è piuttosto spessa.,Crosta piuttosto spessa,Crosta piuttosto spessa,2018,C0R,TG_14
271,RIFERIMENTO,,10 km,nella norma mm,2018,C0R,TG_15
272,RIFERIMENTO,,11 12 mm,nella norma 12 mm,2018,C0R,TG_19
273,FUORI_ATTRIBUTO,Piuttosto marcata,Piuttosto  marcata,Piuttosto  marcata,2018,C0R,TG_20
274,RIFERIMENTO,,11 valore medio,nella norma valore medio,2018,C0R,TG_24
275,RIFERIMENTO,,12 mm,nella norma mm,2018,C0A,Q_09
276,FUORI_ATTRIBUTO,Anche molto sottile in certi punti,Anche molto sottile in certi punti,Anche molto sottile in certi punti,2018,C0A,TG_04
277,RIFERIMENTO,,12 mm,nella norma mm,2018,C0A,TG_15
278,FUORI_ATTRIBUTO,Nove chiaro,9  chiaro,nella norma  chiaro,2018,C0A,TG_19
279,ILLEGGIBILE,,Mediamente 10..,Mediamente 10..,2018,C0A,TG_24
280,ILLEGGIBILE,,Media 1,Media 1,2018,C0A,TG_26
281,OK,"Lo spessore della crosta è di 10-12 mm, con particolare riferimento agli angoli.",10 12km soprattutto negli angoli,nella norma 12mm soprattutto negli angoli,2018,C0C,Q_09
282,FUORI_ATTRIBUTO,Irregolare,Irregolare,Irregolare,2018,C0C,TG_05
283,OK,Lo spessore della crosta e nella norma (10 mm).,1cm,molto sottile,2018,C0C,TG_13
284,FUORI_ATTRIBUTO,Dodici millimetri,12 mm,nella norma mm,2018,C0C,TG_15
285,OK,"Lo spessore della crosta è di 10 mm, con una colorazione chiara.",10 ma chiaro,nella norma ma chiaro,2018,C0C,TG_19
286,FUORI_ATTRIBUTO,Mediamente attorno a undici,Mediamente attorno a 11,Mediamente attorno a 11,2018,C0C,TG_24
287,OK,"La crosta presenta spigoli grossolani e uno spessore elevato, non conforme alle attese per la stagionatura del Grana Trentino DOP.",Spigoli  grossolani  grossa,Spigoli  grossolani  grossa,2018,C0C,TG_26
288,FUORI_ATTRIBUTO,"Più evidente su un lato, colore 0,8 rispetto a 1,2","Più evidente su 1  lato come colore 0,8 vs 1,2","Più evidente su 1  lato come colore 0,8 vs 1,2",2018,C0D,Q_09
289,FUORI_ATTRIBUTO,Dieci millimetri sui piatti,10 mm su i piatti,nella norma mm su i piatti,2018,C0D,TG_04
290,CONFORME,"Il campione presenta uno spessore della crosta nella media, conforme alle attese per la stagionatura del Grana Trentino DOP.",Medio,Medio,2018,C0D,TG_05
291,OK,"La sottocrosta è marcata su un piatto e sugli angoli, indicando una possibile irregolarità nella stagionatura.",Sottocrosta marcato su un piatto e sugli angoli,sottocrostarosta marcato su un piatto e sugli angoli,2018,C0D,TG_13
292,FUORI_ATTRIBUTO,Dodici millimetri,12 mm,nella norma mm,2018,C0D,TG_15
293,OK,"La crosta presenta uno spessore regolare, con un piatto più deciso, conforme alle attese per la stagionatura del Grana Trentino DOP.",10 un piatto più deciso,nella norma un piatto più deciso,2018,C0D,TG_19
294,FUORI_ATTRIBUTO,Superiore a 11 mm.,Superiore a 11,Superiore a 11,2018,C0D,TG_24
295,OK,"La crosta è fine e presenta spigoli ben definiti, conforme alle attese per la stagionatura del Grana Trentino DOP.",Fine anche spigoli,Fine anche spigoli,2018,C0D,TG_26
296,OK,"La crosta presenta uno spessore regolare, con sottocrosta aranciato, conforme alle attese per la stagionatura del Grana Trentino DOP.",12 km sottoscritta aranciato,nella norma mm sottocrosta aranciato,2018,C0G,Q_09
297,OK,"La crosta è fine ma presenta un'unghia evidente di colore bruno, non conforme alle attese per la stagionatura del Grana Trentino DOP.",Crosta fine ma con unghia evidente di colore bruno,Crosta fine ma con unghia evidente di colore bruno,2018,C0G,TG_13
298,FUORI_ATTRIBUTO,Spessore di 10 mm.,10 mm,nella norma mm,2018,C0G,TG_15
299,FUORI_ATTRIBUTO,Spessore di 9-10 mm.,9 10 mm,nella norma 10 mm,2018,C0G,TG_19
300,FUORI_ATTRIBUTO,Mediamente 11 mm.,Mediamente 11,Mediamente 11,2018,C0G,TG_24
301,OK,La crosta presenta spigoli fini e ben definiti.,Fine ok spigoli,Fine ok spigoli,2018,C0G,TG_26
302,OK,"Lo spessore della crosta è più evidente negli angoli, misurando 0,8 mm.","0,8 più evidente negli angoli","0,8 più evidente negli angoli",2018,C0H,Q_09
303,OK,"In alcune aree, lo spessore della crosta è inferiore ai 10 mm.",A tratti inferiore ai 10 mm,A tratti inferiore ai 10 mm,2018,C0H,TG_04
304,OK,"La crosta è marcata sugli angoli, con angoli ben definiti.",Crosta marcata sugli angoli,Crosta marcata sugli angoli,2018,C0H,TG_13
305,OK,Lo spessore della crosta è poco più di 10 mm.,Poco più di 10 mm,Poco più di 10 mm,2018,C0H,TG_15
306,OK,"Lo spessore della crosta è di 10 mm, conforme alle aspettative per la stagionatura del Grana Trentino DOP.",10,nella norma,2018,C0H,TG_19
307,OK,"La crosta del campione è fine, conforme alle attese per la stagionatura del Grana Trentino DOP.",Fine..,Fine..,2018,C0H,TG_24
308,FUORI_ATTRIBUTO,Media di 1 mm.,Media 1,Media 1,2018,C0H,TG_26
309,OK,"Lo spessore della crosta è di 0,6 mm su un lato e 1,2 mm sull'altro.","0,6 su 1 lato 1,2 sull'altro","0,6 su 1 lato 1,2 sull'altro",2018,C0Q,Q_09
310,FUORI_ATTRIBUTO,Sempre attorno a 1 cm.,Sempre sul a 1 cm,Sempre sul a 1 cm,2018,C0Q,TG_04
311,OK,"La sottocrosta è poco evidente, con un limite sfumato.",Sottocrosta poco evidente,sottocrostarosta poco evidente,2018,C0Q,TG_12
312,OK,Lo spessore della crosta è circa 8 mm.,Circa 8 mm,Circa 8 mm,2018,C0Q,TG_15
313,OK,"Il campione presenta uno spessore di 8-9 mm, con una crosta chiara e conforme alle attese per la stagionatura.",8 9 e chiaro,nella norma 9 e chiaro,2018,C0Q,TG_19
314,OK,"La crosta non è molto spessa, conforme alle attese.",Non molto spessa,Non molto spessa,2018,C0Q,TG_20
315,CONFORME,"Il campione mostra uno spessore della crosta nella media, in linea con le aspettative per il Grana Trentino DOP.",Intorno a 8 nella media,Intorno a 8 nella media,2018,C0Q,TG_24
316,OK,La crosta è fine sui piatti e più grossa sugli scalzi.,Fine su i piatti più grossa scalzi,Fine su i piatti più grossa scalzi,2018,C0Q,TG_26
317,OK,"La crosta presenta uno spessore medio di 9 mm, con spigoli sfumati di circa 20 mm.",Piatti e scalzo media 9mm  Spigoli sfumati 20mm circa,Piatti e scalzo media 9mm  Spigoli sfumati 20mm circa,2018,C0A,Q_02
318,OK,"La crosta è nella norma, con uno spessore di 13 mm, più pronunciato sul piatto e sugli angoli.",10 13 più su i1 piatto e angoli,nella norma 13 più su i1 piatto e angoli,2018,C0A,Q_09
319,OK,"La crosta è spessa sugli scalzi, mentre sui piatti presenta tratti anche sottili, rendendo difficile calcolare una media.",Scalzo spessi. Piatti a tratti anche sottili. Difficile fare media,Scalzo spessi. Piatti a tratti anche sottili. differenzaicile fare media,2018,C0A,TG_04
320,OK,"La crosta presenta un'unghia evidente, con una marcatura abbastanza pronunciata sugli angoli.","Un Po di unghia, crosta abbastanza marcata sugli angoli","leggermente di unghia, crosta abbastanza marcata sugli angoli",2018,C0A,TG_13
321,FUORI_ATTRIBUTO,"Sottile sui piatti e spessa sugli scalzi, media.","Sottile ai piatti spessa sugli scalzi, media","Sottile ai piatti spessa sugli scalzi, media",2018,C0A,TG_14
322,OK,Lo spessore della crosta e nella norma (10 mm).,10 mm,nella norma mm,2018,C0A,TG_15
323,OK,"La crosta presenta uno spessore di 9 mm ed è di colore chiaro, conforme alle attese per la stagionatura.",9 mm chiara,nella norma mm chiara,2018,C0A,TG_19
324,FUORI_ATTRIBUTO,Molto diverso tra piatti più fini e scalzi più grossi.,Molto diverso tra piatti più  fine e scalzi più  grossi.,Molto diverso tra piatti più  fine e scalzi più  grossi.,2018,C0A,TG_24
325,OK,"Lo spessore della crosta è di circa 10 mm sui piatti e sugli scalzi, con spigoli di circa 20 mm.",Piatti e scalzo circa 10mm Spigoli circa 20mm,Piatti e scalzo circa 10mm Spigoli circa 20mm,2018,C0C,Q_02
326,ILLEGGIBILE,,Egli angoli,Egli angoli,2018,C0C,Q_09
327,OK,L'unghia è evidente sugli scalzi.,Unghia marcata sugli scalzi,Unghia marcata sugli scalzi,2018,C0C,TG_13
328,OK,"Il campione ha uno spessore della crosta di 10 mm, conforme alle aspettative per il Grana Trentino DOP.",10 mm,nella norma mm,2018,C0C,TG_15
329,OK,"La crosta del campione è di 9 mm e di colore chiaro, conforme alle attese per la stagionatura.",9 mm chiaro,nella norma mm chiaro,2018,C0C,TG_19
330,OK,Lo spessore della crosta è mediamente di 9 mm.,Mediamente  9 mm,Mediamente  9 mm,2018,C0C,TG_24
331,OK,"Lo spessore della crosta è di media 11 mm sui piatti e sugli scalzi, con spigoli di media 20 mm.",Piatti e scalzo media 11mm Spigoli media 20mm,Piatti e scalzo media 11mm Spigoli media 20mm,2018,C0M,Q_02
332,FUORI_ATTRIBUTO,Colore della sottocrosta.,Colore sottocrosta,Colore sottocrostarosta,2018,C0M,Q_09
333,FUORI_ATTRIBUTO,Spessore di oltre 1 cm.,Spessa inoltre il cm,Spessa inoltre il cm,2018,C0M,TG_04
334,OK,La crosta presenta uno spessore omogeneo.,Omogenea,Omogenea,2018,C0M,TG_05
335,OK,La crosta è fine e presenta un'unghia evidente.,Crosta fine con unghia,Crosta fine con unghia,2018,C0M,TG_13
336,OK,Lo spessore della crosta e nella norma (10 mm).,10 mm,nella norma mm,2018,C0M,TG_15
337,OK,La crosta è nella norma con uno spessore di 10 mm.,9 10 mm,nella norma 10 mm,2018,C0M,TG_19
338,OK,La crosta è più spessa su un lato.,Più spessa su un lato,Più spessa su un lato,2018,C0M,TG_20
339,OK,Lo spessore della crosta è complessivamente minore di 8 mm.,Complessivamente  minore di 8 mm,Complessivamente  minore di 8 mm,2018,C0M,TG_24
340,OK,"Lo spessore della crosta è di media 12 mm sui piatti e sugli scalzi, con spigoli di circa 15 mm.",Piatti e scalzo media 12mm Spigoli circa 15mm,Piatti e scalzo media 12mm Spigoli circa 15mm,2018,C0N,Q_02
341,OK,"Il campione presenta uno spessore della crosta di 12-14 mm, con angoli evidenti, conforme alle attese per la stagionatura.",12 14 mm evidente negli angoli,nella norma 14 mm evidente negli angoli,2018,C0N,Q_09
342,FUORI_ATTRIBUTO,Sottocrosta marcata.,Sottocrosta marcato,sottocrostarosta marcato,2018,C0N,TG_13
343,FUORI_ATTRIBUTO,Spessore superiore a 10 mm.,Più di 10 mm,Più di 10 mm,2018,C0N,TG_15
344,OK,"Lo spessore della crosta è di 10-11 mm, conforme alle aspettative per la stagionatura del Grana Trentino DOP.",10 11,nella norma 11,2018,C0N,TG_19
345,FUORI_ATTRIBUTO,Spessore su un piatto.,Su un piatto spessa,Su un piatto spessa,2018,C0N,TG_20
346,FUORI_ATTRIBUTO,Mediamente 12 mm con punte elevate negli angoli.,12 mm mediamente  con punte elevate negli angoli,nella norma mm mediamente  con punte elevate negli angoli,2018,C0N,TG_24
347,OK,"La crosta presenta spigoli ben definiti con uno spessore di circa 15 mm, piatti e scalzi di 7 mm, conforme alle attese per la stagionatura del Grana Trentino DOP.",Ben definita Spigoli 15mm circa Piatti e scalzo 7mm,Ben definita Spigoli 15mm circa Piatti e scalzo 7mm,2018,C0O,Q_02
348,OK,"La crosta è più evidente sullo scalzo e negli angoli, conforme alle attese per la stagionatura del Grana Trentino DOP.",Più evidente sullo scalzo e angoli,Più evidente sullo scalzo e angoli,2018,C0O,Q_09
349,CONFORME,"La crosta del campione appare in buone condizioni, conforme alle attese per la stagionatura del Grana Trentino DOP.",Almeno la crosta non é male,Almeno la crosta non é male,2018,C0O,TG_04
